url	url_hash	retrieved_at	finished_at	curl_exit	http_status	final_url	content_type	size_download	redirects	curl_error	body_path	headers_path
http://paulbuerkner.com/data/data_effect.txt	1e33c2457ad674db	2026-07-28T21:07:08.537912+00:00	2026-07-28T21:07:08.688319+00:00	0	200	http://paulbuerkner.com/data/data_effect.txt	text/plain; charset=utf-8	2672	0		bodies/1e33c2457ad674db.body	bodies/1e33c2457ad674db.headers
http://paulbuerkner.com/data/data_pois.txt	0660125a8dfad892	2026-07-28T21:07:08.538285+00:00	2026-07-28T21:07:08.702428+00:00	0	200	http://paulbuerkner.com/data/data_pois.txt	text/plain; charset=utf-8	2508	0		bodies/0660125a8dfad892.body	bodies/0660125a8dfad892.headers
http://paulbuerkner.com/data/data_repeat.txt	b2627fbe314d3061	2026-07-28T21:07:08.538457+00:00	2026-07-28T21:07:08.688795+00:00	0	200	http://paulbuerkner.com/data/data_repeat.txt	text/plain; charset=utf-8	20774	0		bodies/b2627fbe314d3061.body	bodies/b2627fbe314d3061.headers
http://paulbuerkner.com/data/data_simple.txt	9bd237c243aca72b	2026-07-28T21:07:08.538701+00:00	2026-07-28T21:07:08.579291+00:00	0	200	http://paulbuerkner.com/data/data_simple.txt	text/plain; charset=utf-8	4220	0		bodies/9bd237c243aca72b.body	bodies/9bd237c243aca72b.headers
http://paulbuerkner.com/data/fish.csv	b70ecf8f69d5d457	2026-07-28T21:07:08.539083+00:00	2026-07-28T21:07:08.578117+00:00	0	200	http://paulbuerkner.com/data/fish.csv	text/csv; charset=utf-8	5421	0		bodies/b70ecf8f69d5d457.body	bodies/b70ecf8f69d5d457.headers
https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	f466cc10ad6370a7	2026-07-28T21:07:08.539495+00:00	2026-07-28T21:07:08.609576+00:00	0	200	https://bambinos.github.io/bambi/notebooks/ESCS_multiple_regression.html	text/html; charset=utf-8	44230	0		bodies/f466cc10ad6370a7.body	bodies/f466cc10ad6370a7.headers
https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	6df13ebb9c59c3ef	2026-07-28T21:07:08.539671+00:00	2026-07-28T21:07:08.571422+00:00	0	200	https://bambinos.github.io/bambi/notebooks/Strack_RRR_re_analysis.html	text/html; charset=utf-8	18345	0		bodies/6df13ebb9c59c3ef.body	bodies/6df13ebb9c59c3ef.headers
https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	8de8214c9a96e83a	2026-07-28T21:07:08.539819+00:00	2026-07-28T21:07:08.579224+00:00	0	200	https://bambinos.github.io/bambi/notebooks/alternative_links_binary.html	text/html; charset=utf-8	15476	0		bodies/8de8214c9a96e83a.body	bodies/8de8214c9a96e83a.headers
https://bambinos.github.io/bambi/notebooks/alternative_samplers.html	7f467e85a13c0547	2026-07-28T21:07:08.540278+00:00	2026-07-28T21:07:08.584721+00:00	0	200	https://bambinos.github.io/bambi/notebooks/alternative_samplers.html	text/html; charset=utf-8	39964	0		bodies/7f467e85a13c0547.body	bodies/7f467e85a13c0547.headers
https://bambinos.github.io/bambi/notebooks/beta_regression.html	452a4bb83a8796f0	2026-07-28T21:07:08.540611+00:00	2026-07-28T21:07:08.569507+00:00	0	200	https://bambinos.github.io/bambi/notebooks/beta_regression.html	text/html; charset=utf-8	19766	0		bodies/452a4bb83a8796f0.body	bodies/452a4bb83a8796f0.headers
https://bambinos.github.io/bambi/notebooks/categorical_regression.html	ee33fb6e9d940999	2026-07-28T21:07:08.545087+00:00	2026-07-28T21:07:08.592116+00:00	0	200	https://bambinos.github.io/bambi/notebooks/categorical_regression.html	text/html; charset=utf-8	15792	0		bodies/ee33fb6e9d940999.body	bodies/ee33fb6e9d940999.headers
https://bambinos.github.io/bambi/notebooks/circular_regression.html	f7126969ed0e27bf	2026-07-28T21:07:08.548265+00:00	2026-07-28T21:07:08.610497+00:00	0	200	https://bambinos.github.io/bambi/notebooks/circular_regression.html	text/html; charset=utf-8	14843	0		bodies/f7126969ed0e27bf.body	bodies/f7126969ed0e27bf.headers
https://bambinos.github.io/bambi/notebooks/count_roaches.html	3e74d8e4c6a3d62d	2026-07-28T21:07:08.550996+00:00	2026-07-28T21:07:08.612849+00:00	0	200	https://bambinos.github.io/bambi/notebooks/count_roaches.html	text/html; charset=utf-8	15798	0		bodies/3e74d8e4c6a3d62d.body	bodies/3e74d8e4c6a3d62d.headers
https://bambinos.github.io/bambi/notebooks/distributional_models.html	e0f880feab801845	2026-07-28T21:07:08.551176+00:00	2026-07-28T21:07:08.602100+00:00	0	200	https://bambinos.github.io/bambi/notebooks/distributional_models.html	text/html; charset=utf-8	15738	0		bodies/e0f880feab801845.body	bodies/e0f880feab801845.headers
https://bambinos.github.io/bambi/notebooks/fixed_random.html	9c886f01f9668c5e	2026-07-28T21:07:08.553523+00:00	2026-07-28T21:07:08.613103+00:00	0	200	https://bambinos.github.io/bambi/notebooks/fixed_random.html	text/html; charset=utf-8	18228	0		bodies/9c886f01f9668c5e.body	bodies/9c886f01f9668c5e.headers
https://bambinos.github.io/bambi/notebooks/hierarchical_binomial_bambi.html	d3b270a2a744b815	2026-07-28T21:07:08.555170+00:00	2026-07-28T21:07:08.641930+00:00	0	200	https://bambinos.github.io/bambi/notebooks/hierarchical_binomial_bambi.html	text/html; charset=utf-8	19848	0		bodies/d3b270a2a744b815.body	bodies/d3b270a2a744b815.headers
https://bambinos.github.io/bambi/notebooks/hsgp_1d.html	074d626af397baf4	2026-07-28T21:07:08.555326+00:00	2026-07-28T21:07:08.615006+00:00	0	200	https://bambinos.github.io/bambi/notebooks/hsgp_1d.html	text/html; charset=utf-8	19108	0		bodies/074d626af397baf4.body	bodies/074d626af397baf4.headers
