row_key	deployed	dataset	dataset_source_url	retrieved_at	http_status	curl_exit	final_url	content_type	dataset_receipt_status	evidence_anchor	body_sha256	model_support_boundary
bambi/escs	true	escs	https://ndownloader.figshare.com/files/28870722	2026-07-28T21:07:09.562166+00:00	200	0	https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/28870722/ESCS.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIYCQYOYV5JSSROOA/20260728/eu-west-1/s3/aws4_request&X-Amz-Date=20260728T210709Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=6359ae198d54ce36c590559a72cce33988dd6049e1baa0b55865162410d48d6b	text/csv	reachable-data-or-description		0195545797a4258de138a205a013a84022bbe23e7ff47782b179055c706300b6	Dataset receipt is not evidence for formula or family.
bambi/cherry_blossoms_explicit	true	cherry_blossoms	https://ndownloader.figshare.com/files/31072807	2026-07-28T21:07:09.680694+00:00	200	0	https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/31072807/cherry_blossoms.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIYCQYOYV5JSSROOA/20260728/eu-west-1/s3/aws4_request&X-Amz-Date=20260728T210709Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=356ad5eb27765709ac4cddf567d24a96f2df86db1a27f6c24504fb9ccff86b32	text/csv	reachable-data-or-description		b859dd4f64c231c76ecb80b78f26da71e2f92698c50e0ceb93be0399dee24f51	Dataset receipt is not evidence for formula or family.
bambi/cherry_blossoms_absorbed	true	cherry_blossoms	https://ndownloader.figshare.com/files/31072807	2026-07-28T21:07:09.680694+00:00	200	0	https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/31072807/cherry_blossoms.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIYCQYOYV5JSSROOA/20260728/eu-west-1/s3/aws4_request&X-Amz-Date=20260728T210709Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=356ad5eb27765709ac4cddf567d24a96f2df86db1a27f6c24504fb9ccff86b32	text/csv	reachable-data-or-description		b859dd4f64c231c76ecb80b78f26da71e2f92698c50e0ceb93be0399dee24f51	Dataset receipt is not evidence for formula or family.
bambi/dietox	true	dietox	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	2026-07-28T21:07:10.734757+00:00	200	0	https://vincentarelbundock.github.io/Rdatasets/csv/geepack/dietox.csv	text/csv; charset=utf-8	reachable-data-or-description	text_offset=9; matched_terms=pig; context_sha256=b1aa22a3dfaf4cc3	4d32f92a38aa031b20319dfd959f2503ca261ad6938060cdb809e7a679b2ba88	Dataset receipt is not evidence for formula or family.
bambi/sleepstudy	true	sleepstudy	https://ndownloader.figshare.com/files/31181002	2026-07-28T21:07:09.711988+00:00	200	0	https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/31181002/sleepstudy.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIYCQYOYV5JSSROOA/20260728/eu-west-1/s3/aws4_request&X-Amz-Date=20260728T210709Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=eee668faaad96c7baf3f0fbb737b09391e255a9f63803e70f399ca9e86fe5596	text/csv	reachable-data-or-description		0a002bec8be2fa9d40dbbf3d5038e614d113a4fd5bf8813f6f4271c3d6294675	Dataset receipt is not evidence for formula or family.
bambi/radon_pooled	true	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	2026-07-28T21:07:10.406679+00:00	200	0	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	text/plain; charset=utf-8	reachable-data-or-description		241219ed05d4bf7dc171ca279c69db7f8d87ae666feae86161c973483a054877	Dataset receipt is not evidence for formula or family.
bambi/radon_nopooling	true	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	2026-07-28T21:07:10.406679+00:00	200	0	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	text/plain; charset=utf-8	reachable-data-or-description		241219ed05d4bf7dc171ca279c69db7f8d87ae666feae86161c973483a054877	Dataset receipt is not evidence for formula or family.
bambi/radon_partial	true	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	2026-07-28T21:07:10.406679+00:00	200	0	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	text/plain; charset=utf-8	reachable-data-or-description		241219ed05d4bf7dc171ca279c69db7f8d87ae666feae86161c973483a054877	Dataset receipt is not evidence for formula or family.
bambi/radon_floor	true	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	2026-07-28T21:07:10.406679+00:00	200	0	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	text/plain; charset=utf-8	reachable-data-or-description	text_offset=46; matched_terms=floor; context_sha256=a414b42b3e224891	241219ed05d4bf7dc171ca279c69db7f8d87ae666feae86161c973483a054877	Dataset receipt is not evidence for formula or family.
bambi/radon_slopes	true	radon	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	2026-07-28T21:07:10.406679+00:00	200	0	https://raw.githubusercontent.com/pymc-devs/pymc-examples/main/examples/data/srrs2.dat	text/plain; charset=utf-8	reachable-data-or-description		241219ed05d4bf7dc171ca279c69db7f8d87ae666feae86161c973483a054877	Dataset receipt is not evidence for formula or family.
